ID,Street,City,State,Zip
01, 2086 Newpark Mall, Newark,CA,94560
02, 1 Southland Mall, Hayward,CA,94545
03, 1275 Broadway Plaza, Walnut Creek,CA,94596
04, 5820 Stoneridge Mall Road, Pleasanton,CA,94588
05, 2556 Somersville Rd, Antioch,CA,94509
06, 60 31st Ave, San Mateo,CA,94403
07, 3251 20th Ave, San Francisco,CA,94132
08, 447 Great Mall Dr, Milpitas,CA,95035
09, 377 Santana Row, San Jose,CA,95128
10, 1600 Saratoga Ave, San Jose,CA,95129
11, 660 Stanford Shopping Center, Palo Alto,CA,94304
