ID,Street,City,State,Zip,MallName
1, 2086 Newpark Mall, Newark,CA,94560,Newark 
2, 1 Southland Mall, Hayward,CA,94545,Southland
3, 1275 Broadway Plaza, Walnut Creek,CA,94596,Broadway Plaza
4, 5820 Stoneridge Mall Road, Pleasanton,CA,94588,Stoneridge
5, 2556 Somersville Rd, Antioch,CA,94509,Somersville
6, 60 31st Ave, San Mateo,CA,94403,Hillsdale Shopping Center
7, 3251 20th Ave, San Francisco,CA,94132,Stonestown Galleria
8, 447 Great Mall Dr, Milpitas,CA,95035,Great Mall
9, 377 Santana Row, San Jose,CA,95128,Santana Row
10, 1600 Saratoga Ave, San Jose,CA,95129,Westgate Center
11, 660 Stanford Shopping Center, Palo Alto,CA,94304,Stanford Shopping Center
